file_path,team1,team2,date
dt\csv3\1115803.csv,Pakistan,New Zealand,2018-01-09
dt\csv3\1115804.csv,New Zealand,Pakistan,2018-01-13
dt\csv3\1115805.csv,Pakistan,New Zealand,2018-01-16
dt\csv3\1115806.csv,New Zealand,Pakistan,2018-01-19
dt\csv3\1119496.csv,India,Australia,2017-09-17
dt\csv3\1119497.csv,India,Australia,2017-09-21
dt\csv3\1119498.csv,Australia,India,2017-09-24
dt\csv3\1119499.csv,Australia,India,2017-09-28
dt\csv3\1119500.csv,Australia,India,2017-10-01
dt\csv3\1119537.csv,Australia,England,2018-06-13
dt\csv3\1119538.csv,England,Australia,2018-06-16
dt\csv3\1119539.csv,England,Australia,2018-06-19
dt\csv3\1119540.csv,Australia,England,2018-06-21
dt\csv3\1119541.csv,Australia,England,2018-06-24
dt\csv3\1119546.csv,England,India,2018-07-12
dt\csv3\1119547.csv,England,India,2018-07-14
dt\csv3\1119548.csv,India,England,2018-07-17
dt\csv3\1120090.csv,India,New Zealand,2017-10-22
dt\csv3\1120091.csv,New Zealand,India,2017-10-25
dt\csv3\1120092.csv,India,New Zealand,2017-10-29
dt\csv3\1120286.csv,Pakistan,Sri Lanka,2017-10-13
dt\csv3\1120287.csv,Pakistan,Sri Lanka,2017-10-16
dt\csv3\1120288.csv,Sri Lanka,Pakistan,2017-10-18
dt\csv3\1120289.csv,Sri Lanka,Pakistan,2017-10-20
dt\csv3\1120290.csv,Sri Lanka,Pakistan,2017-10-23
dt\csv3\1122279.csv,South Africa,India,2018-02-01
dt\csv3\1122280.csv,South Africa,India,2018-02-04
dt\csv3\1122281.csv,India,South Africa,2018-02-07
dt\csv3\1122282.csv,India,South Africa,2018-02-10
dt\csv3\1122283.csv,India,South Africa,2018-02-13
dt\csv3\1122284.csv,South Africa,India,2018-02-16
dt\csv3\1122726.csv,India,Sri Lanka,2017-12-10
dt\csv3\1122727.csv,India,Sri Lanka,2017-12-13
dt\csv3\1122728.csv,Sri Lanka,India,2017-12-17
dt\csv3\1124089.csv,Hong Kong,Papua New Guinea,2017-12-06
dt\csv3\1130737.csv,Zimbabwe,Bangladesh,2018-01-15
dt\csv3\1130738.csv,Zimbabwe,Sri Lanka,2018-01-17
dt\csv3\1130739.csv,Bangladesh,Sri Lanka,2018-01-19
dt\csv3\1130740.csv,Zimbabwe,Sri Lanka,2018-01-21
dt\csv3\1130741.csv,Bangladesh,Zimbabwe,2018-01-23
dt\csv3\1130742.csv,Bangladesh,Sri Lanka,2018-01-25
dt\csv3\1130743.csv,Sri Lanka,Bangladesh,2018-01-27
dt\csv3\1131274.csv,United Arab Emirates,Ireland,2018-01-11
dt\csv3\1131275.csv,Ireland,United Arab Emirates,2018-01-13
dt\csv3\1131276.csv,Scotland,Ireland,2018-01-16
dt\csv3\1131277.csv,Ireland,Scotland,2018-01-18
dt\csv3\1131278.csv,Scotland,United Arab Emirates,2018-01-21
dt\csv3\1131279.csv,Scotland,United Arab Emirates,2018-01-23
dt\csv3\1133002.csv,Papua New Guinea,Ireland,2018-03-06
dt\csv3\1133003.csv,West Indies,United Arab Emirates,2018-03-06
dt\csv3\1133005.csv,Hong Kong,Scotland,2018-03-06
dt\csv3\1133007.csv,Papua New Guinea,West Indies,2018-03-08
dt\csv3\1133010.csv,West Indies,Ireland,2018-03-10
dt\csv3\1133012.csv,Zimbabwe,Hong Kong,2018-03-10
dt\csv3\1133015.csv,Ireland,United Arab Emirates,2018-03-12
dt\csv3\1133017.csv,Zimbabwe,Scotland,2018-03-12
dt\csv3\1133019.csv,Scotland,United Arab Emirates,2018-03-15
dt\csv3\1133022.csv,Zimbabwe,Ireland,2018-03-16
dt\csv3\1133023.csv,Papua New Guinea,Hong Kong,2018-03-17
dt\csv3\1133025.csv,Ireland,Scotland,2018-03-18
dt\csv3\1133026.csv,Zimbabwe,West Indies,2018-03-19
dt\csv3\1133028.csv,West Indies,Scotland,2018-03-21
dt\csv3\1133029.csv,United Arab Emirates,Zimbabwe,2018-03-22
dt\csv3\1134540.csv,United Arab Emirates,Papua New Guinea,2018-03-04
dt\csv3\1140379.csv,England,Sri Lanka,2018-10-10
dt\csv3\1140380.csv,England,Sri Lanka,2018-10-13
dt\csv3\1140381.csv,Sri Lanka,England,2018-10-17
dt\csv3\1140382.csv,Sri Lanka,England,2018-10-20
dt\csv3\1140383.csv,Sri Lanka,England,2018-10-23
dt\csv3\1142584.csv,Sri Lanka,South Africa,2018-07-29
dt\csv3\1142585.csv,Sri Lanka,South Africa,2018-08-01
dt\csv3\1142586.csv,South Africa,Sri Lanka,2018-08-05
dt\csv3\1142587.csv,Sri Lanka,South Africa,2018-08-08
dt\csv3\1142588.csv,Sri Lanka,South Africa,2018-08-12
dt\csv3\1142920.csv,Pakistan,Zimbabwe,2018-07-13
dt\csv3\1142921.csv,Zimbabwe,Pakistan,2018-07-16
dt\csv3\1142922.csv,Zimbabwe,Pakistan,2018-07-18
dt\csv3\1142923.csv,Pakistan,Zimbabwe,2018-07-20
dt\csv3\1142924.csv,Pakistan,Zimbabwe,2018-07-22
dt\csv3\1144146.csv,Zimbabwe,South Africa,2018-09-30
dt\csv3\1144147.csv,South Africa,Zimbabwe,2018-10-03
dt\csv3\1144148.csv,Zimbabwe,South Africa,2018-10-06
dt\csv3\1144156.csv,South Africa,Pakistan,2019-01-19
dt\csv3\1144157.csv,South Africa,Pakistan,2019-01-22
dt\csv3\1144158.csv,South Africa,Pakistan,2019-01-25
dt\csv3\1144159.csv,South Africa,Pakistan,2019-01-27
dt\csv3\1144160.csv,South Africa,Pakistan,2019-01-30
dt\csv3\1144167.csv,South Africa,Sri Lanka,2019-03-03
dt\csv3\1144168.csv,South Africa,Sri Lanka,2019-03-06
dt\csv3\1144169.csv,South Africa,Sri Lanka,2019-03-10
dt\csv3\1144170.csv,South Africa,Sri Lanka,2019-03-13
dt\csv3\1144171.csv,South Africa,Sri Lanka,2019-03-16
dt\csv3\1144483.csv,England,South Africa,2019-05-30
dt\csv3\1144484.csv,Pakistan,West Indies,2019-05-31
dt\csv3\1144485.csv,New Zealand,Sri Lanka,2019-06-01
dt\csv3\1144487.csv,Bangladesh,South Africa,2019-06-02
dt\csv3\1144488.csv,England,Pakistan,2019-06-03
dt\csv3\1144490.csv,India,South Africa,2019-06-05
dt\csv3\1144491.csv,Bangladesh,New Zealand,2019-06-05
dt\csv3\1144492.csv,Australia,West Indies,2019-06-06
dt\csv3\1144494.csv,England,Bangladesh,2019-06-08
dt\csv3\1144496.csv,Australia,India,2019-06-09
dt\csv3\1144497.csv,South Africa,West Indies,2019-06-10
dt\csv3\1144499.csv,Australia,Pakistan,2019-06-12
dt\csv3\1144501.csv,England,West Indies,2019-06-14
dt\csv3\1144502.csv,Australia,Sri Lanka,2019-06-15
dt\csv3\1144504.csv,India,Pakistan,2019-06-16
dt\csv3\1144505.csv,Bangladesh,West Indies,2019-06-17
dt\csv3\1144507.csv,New Zealand,South Africa,2019-06-19
dt\csv3\1144508.csv,Australia,Bangladesh,2019-06-20
dt\csv3\1144509.csv,England,Sri Lanka,2019-06-21
dt\csv3\1144511.csv,New Zealand,West Indies,2019-06-22
dt\csv3\1144512.csv,Pakistan,South Africa,2019-06-23
dt\csv3\1144514.csv,England,Australia,2019-06-25
dt\csv3\1144515.csv,New Zealand,Pakistan,2019-06-26
dt\csv3\1144516.csv,India,West Indies,2019-06-27
dt\csv3\1144517.csv,South Africa,Sri Lanka,2019-06-28
dt\csv3\1144519.csv,Australia,New Zealand,2019-06-29
dt\csv3\1144520.csv,England,India,2019-06-30
dt\csv3\1144521.csv,Sri Lanka,West Indies,2019-07-01
dt\csv3\1144522.csv,Bangladesh,India,2019-07-02
dt\csv3\1144523.csv,England,New Zealand,2019-07-03
dt\csv3\1144525.csv,Bangladesh,Pakistan,2019-07-05
dt\csv3\1144526.csv,India,Sri Lanka,2019-07-06
dt\csv3\1144527.csv,Australia,South Africa,2019-07-06
dt\csv3\1144528.csv,India,New Zealand,2019-07-09
dt\csv3\1144529.csv,Australia,England,2019-07-11
dt\csv3\1144530.csv,England,New Zealand,2019-07-14
dt\csv3\1144986.csv,Australia,South Africa,2018-11-04
dt\csv3\1144987.csv,Australia,South Africa,2018-11-09
dt\csv3\1144988.csv,South Africa,Australia,2018-11-11
dt\csv3\1144997.csv,Australia,India,2019-01-12
dt\csv3\1144998.csv,Australia,India,2019-01-15
dt\csv3\1144999.csv,Australia,India,2019-01-18
dt\csv3\1146720.csv,Bangladesh,West Indies,2018-07-22
dt\csv3\1146721.csv,West Indies,Bangladesh,2018-07-25
dt\csv3\1146722.csv,Bangladesh,West Indies,2018-07-28
dt\csv3\1152841.csv,England,Pakistan,2019-05-08
dt\csv3\1152842.csv,England,Pakistan,2019-05-11
dt\csv3\1152843.csv,England,Pakistan,2019-05-14
dt\csv3\1152844.csv,England,Pakistan,2019-05-17
dt\csv3\1152845.csv,England,Pakistan,2019-05-19
dt\csv3\1153243.csv,Bangladesh,Sri Lanka,2018-09-15
dt\csv3\1153244.csv,Hong Kong,Pakistan,2018-09-16
dt\csv3\1153246.csv,India,Hong Kong,2018-09-18
dt\csv3\1153247.csv,Pakistan,India,2018-09-19
dt\csv3\1153249.csv,Bangladesh,India,2018-09-21
dt\csv3\1153251.csv,Pakistan,India,2018-09-23
dt\csv3\1153254.csv,Bangladesh,Pakistan,2018-09-26
dt\csv3\1153255.csv,Bangladesh,India,2018-09-28
dt\csv3\1153314.csv,Bangladesh,West Indies,2018-12-09
dt\csv3\1153315.csv,Bangladesh,West Indies,2018-12-11
dt\csv3\1153316.csv,Bangladesh,West Indies,2018-12-14
dt\csv3\1153635.csv,Bangladesh,Zimbabwe,2018-10-21
dt\csv3\1153636.csv,Zimbabwe,Bangladesh,2018-10-24
dt\csv3\1153637.csv,Zimbabwe,Bangladesh,2018-10-26
dt\csv3\1153691.csv,New Zealand,India,2019-01-23
dt\csv3\1153692.csv,New Zealand,India,2019-01-26
dt\csv3\1153693.csv,New Zealand,India,2019-01-28
dt\csv3\1153694.csv,New Zealand,India,2019-01-31
dt\csv3\1153695.csv,New Zealand,India,2019-02-03
dt\csv3\1153840.csv,New Zealand,Sri Lanka,2019-01-03
dt\csv3\1153841.csv,New Zealand,Sri Lanka,2019-01-05
dt\csv3\1153842.csv,New Zealand,Sri Lanka,2019-01-08
dt\csv3\1153844.csv,New Zealand,Bangladesh,2019-02-13
dt\csv3\1153845.csv,New Zealand,Bangladesh,2019-02-16
dt\csv3\1153846.csv,New Zealand,Bangladesh,2019-02-20
dt\csv3\1154649.csv,United Arab Emirates,Nepal,2018-08-30
dt\csv3\1157378.csv,New Zealand,Pakistan,2018-11-07
dt\csv3\1157379.csv,New Zealand,Pakistan,2018-11-09
dt\csv3\1157380.csv,Pakistan,New Zealand,2018-11-11
dt\csv3\1157754.csv,West Indies,India,2018-10-21
dt\csv3\1157755.csv,India,West Indies,2018-10-24
dt\csv3\1157756.csv,West Indies,India,2018-10-27
dt\csv3\1157757.csv,India,West Indies,2018-10-29
dt\csv3\1157758.csv,West Indies,India,2018-11-01
dt\csv3\1158066.csv,West Indies,England,2019-02-20
dt\csv3\1158067.csv,West Indies,England,2019-02-22
dt\csv3\1158069.csv,West Indies,England,2019-02-27
dt\csv3\1158070.csv,West Indies,England,2019-03-02
dt\csv3\1161014.csv,Ireland,England,2019-05-03
dt\csv3\1168242.csv,India,Australia,2019-03-02
dt\csv3\1168243.csv,India,Australia,2019-03-05
dt\csv3\1168244.csv,India,Australia,2019-03-08
dt\csv3\1168245.csv,India,Australia,2019-03-10
dt\csv3\1168246.csv,India,Australia,2019-03-13
dt\csv3\1168508.csv,Ireland,West Indies,2019-05-05
dt\csv3\1168509.csv,Bangladesh,West Indies,2019-05-07
dt\csv3\1168511.csv,Ireland,West Indies,2019-05-11
dt\csv3\1168512.csv,Bangladesh,West Indies,2019-05-13
dt\csv3\1168513.csv,Ireland,Bangladesh,2019-05-15
dt\csv3\1168514.csv,Bangladesh,West Indies,2019-05-17
dt\csv3\1168517.csv,Ireland,Zimbabwe,2019-07-01
dt\csv3\1168518.csv,Ireland,Zimbabwe,2019-07-04
dt\csv3\1168519.csv,Ireland,Zimbabwe,2019-07-07
dt\csv3\1169332.csv,Scotland,Sri Lanka,2019-05-21
dt\csv3\1170454.csv,United Arab Emirates,Nepal,2019-01-25
dt\csv3\1170455.csv,United Arab Emirates,Nepal,2019-01-26
dt\csv3\1170456.csv,United Arab Emirates,Nepal,2019-01-28
dt\csv3\1174238.csv,Australia,Pakistan,2019-03-22
dt\csv3\1174239.csv,Australia,Pakistan,2019-03-24
dt\csv3\1174240.csv,Australia,Pakistan,2019-03-27
dt\csv3\1174241.csv,Australia,Pakistan,2019-03-29
dt\csv3\1174242.csv,Australia,Pakistan,2019-03-31
dt\csv3\1174844.csv,Papua New Guinea,United States of America,2019-04-27
dt\csv3\1174845.csv,Namibia,Oman,2019-04-27
dt\csv3\1179272.csv,Zimbabwe,United Arab Emirates,2019-04-10
dt\csv3\1179273.csv,Zimbabwe,United Arab Emirates,2019-04-12
dt\csv3\1179275.csv,Zimbabwe,United Arab Emirates,2019-04-16
dt\csv3\1183537.csv,Australia,New Zealand,2020-03-13
dt\csv3\1185310.csv,South Africa,England,2020-02-04
dt\csv3\1185311.csv,South Africa,England,2020-02-07
dt\csv3\1185312.csv,South Africa,England,2020-02-09
dt\csv3\1185319.csv,South Africa,Australia,2020-02-29
dt\csv3\1185320.csv,South Africa,Australia,2020-03-04
dt\csv3\1185321.csv,South Africa,Australia,2020-03-07
dt\csv3\1187021.csv,India,West Indies,2019-12-15
dt\csv3\1187022.csv,India,West Indies,2019-12-18
dt\csv3\1187023.csv,India,West Indies,2019-12-22
dt\csv3\1187027.csv,India,Australia,2020-01-14
dt\csv3\1187028.csv,India,Australia,2020-01-17
dt\csv3\1187029.csv,India,Australia,2020-01-19
dt\csv3\1187682.csv,New Zealand,India,2020-02-05
dt\csv3\1187683.csv,New Zealand,India,2020-02-08
dt\csv3\1187684.csv,New Zealand,India,2020-02-11
dt\csv3\1188377.csv,Netherlands,Zimbabwe,2019-06-19
dt\csv3\1188378.csv,Netherlands,Zimbabwe,2019-06-21
dt\csv3\1188624.csv,West Indies,India,2019-08-08
dt\csv3\1188625.csv,West Indies,India,2019-08-11
dt\csv3\1188626.csv,West Indies,India,2019-08-14
dt\csv3\1193504.csv,Sri Lanka,Bangladesh,2019-07-26
dt\csv3\1193505.csv,Sri Lanka,Bangladesh,2019-07-28
dt\csv3\1193506.csv,Sri Lanka,Bangladesh,2019-07-31
dt\csv3\1196670.csv,Oman,Papua New Guinea,2019-08-14
dt\csv3\1196671.csv,Scotland,Oman,2019-08-15
dt\csv3\1196672.csv,Scotland,Papua New Guinea,2019-08-17
dt\csv3\1196673.csv,Scotland,Oman,2019-08-18
dt\csv3\1196674.csv,Scotland,Papua New Guinea,2019-08-20
dt\csv3\1196675.csv,Oman,Papua New Guinea,2019-08-21
dt\csv3\1198238.csv,Australia,England,2020-09-11
dt\csv3\1198239.csv,England,Australia,2020-09-13
dt\csv3\1198240.csv,England,Australia,2020-09-16
dt\csv3\1198247.csv,Ireland,England,2020-07-30
dt\csv3\1198248.csv,Ireland,England,2020-08-01
dt\csv3\1198249.csv,England,Ireland,2020-08-04
dt\csv3\1198487.csv,Pakistan,Sri Lanka,2019-09-30
dt\csv3\1198488.csv,Pakistan,Sri Lanka,2019-10-02
dt\csv3\1199225.csv,United States of America,Papua New Guinea,2019-09-13
dt\csv3\1199226.csv,United States of America,Namibia,2019-09-17
dt\csv3\1199227.csv,United States of America,Papua New Guinea,2019-09-19
dt\csv3\1199229.csv,Namibia,Papua New Guinea,2019-09-22
dt\csv3\1199230.csv,Namibia,Papua New Guinea,2019-09-23
dt\csv3\1203673.csv,West Indies,Ireland,2020-01-07
dt\csv3\1203674.csv,West Indies,Ireland,2020-01-09
dt\csv3\1203675.csv,West Indies,Ireland,2020-01-12
dt\csv3\1206059.csv,United Arab Emirates,United States of America,2019-12-08
dt\csv3\1206060.csv,Scotland,United States of America,2019-12-09
dt\csv3\1206062.csv,United Arab Emirates,United States of America,2019-12-12
dt\csv3\1206063.csv,Scotland,United States of America,2019-12-14
dt\csv3\1206064.csv,United Arab Emirates,Scotland,2019-12-15
dt\csv3\1211169.csv,Oman,United Arab Emirates,2020-01-05
dt\csv3\1211170.csv,Namibia,United Arab Emirates,2020-01-06
dt\csv3\1211171.csv,Oman,Namibia,2020-01-08
dt\csv3\1211173.csv,Namibia,United Arab Emirates,2020-01-09
dt\csv3\1213871.csv,Sri Lanka,West Indies,2020-02-22
dt\csv3\1213872.csv,Sri Lanka,West Indies,2020-02-26
dt\csv3\1213873.csv,Sri Lanka,West Indies,2020-03-01
dt\csv3\1214667.csv,Bangladesh,Zimbabwe,2020-03-01
dt\csv3\1214668.csv,Bangladesh,Zimbabwe,2020-03-03
dt\csv3\1214669.csv,Bangladesh,Zimbabwe,2020-03-06
dt\csv3\1215122.csv,Nepal,Oman,2020-02-05
dt\csv3\1215123.csv,Oman,United States of America,2020-02-06
dt\csv3\1215124.csv,Nepal,United States of America,2020-02-08
dt\csv3\1215125.csv,Nepal,Oman,2020-02-09
dt\csv3\1215126.csv,Oman,United States of America,2020-02-11
dt\csv3\1215127.csv,Nepal,United States of America,2020-02-12
dt\csv3\1223955.csv,Australia,India,2020-11-27
dt\csv3\1223956.csv,Australia,India,2020-11-29
dt\csv3\1223957.csv,India,Australia,2020-12-02
dt\csv3\1233461.csv,Pakistan,Zimbabwe,2020-10-30
dt\csv3\1233462.csv,Zimbabwe,Pakistan,2020-11-01
dt\csv3\1233463.csv,Zimbabwe,Pakistan,2020-11-03
dt\csv3\1233976.csv,Bangladesh,New Zealand,2021-03-20
dt\csv3\1233977.csv,Bangladesh,New Zealand,2021-03-23
dt\csv3\1233978.csv,New Zealand,Bangladesh,2021-03-26
dt\csv3\1239534.csv,Sri Lanka,England,2021-06-29
dt\csv3\1239535.csv,Sri Lanka,England,2021-07-01
dt\csv3\1239536.csv,Sri Lanka,England,2021-07-04
dt\csv3\1239537.csv,Pakistan,England,2021-07-08
dt\csv3\1239538.csv,England,Pakistan,2021-07-10
dt\csv3\1239539.csv,Pakistan,England,2021-07-13
dt\csv3\1243393.csv,India,England,2021-03-23
dt\csv3\1243394.csv,India,England,2021-03-26
dt\csv3\1243395.csv,India,England,2021-03-28
dt\csv3\1244022.csv,West Indies,Bangladesh,2021-01-20
dt\csv3\1244023.csv,West Indies,Bangladesh,2021-01-22
dt\csv3\1244024.csv,Bangladesh,West Indies,2021-01-25
dt\csv3\1244524.csv,Ireland,United Arab Emirates,2021-01-08
dt\csv3\1244525.csv,Ireland,United Arab Emirates,2021-01-18
dt\csv3\1251572.csv,South Africa,Pakistan,2021-04-02
dt\csv3\1251573.csv,South Africa,Pakistan,2021-04-04
dt\csv3\1251574.csv,Pakistan,South Africa,2021-04-07
dt\csv3\1251950.csv,Ireland,South Africa,2021-07-11
dt\csv3\1251951.csv,Ireland,South Africa,2021-07-13
dt\csv3\1251952.csv,South Africa,Ireland,2021-07-16
dt\csv3\1251962.csv,Netherlands,Ireland,2021-06-02
dt\csv3\1251963.csv,Netherlands,Ireland,2021-06-04
dt\csv3\1251964.csv,Ireland,Netherlands,2021-06-07
dt\csv3\1252069.csv,West Indies,Sri Lanka,2021-03-10
dt\csv3\1252070.csv,West Indies,Sri Lanka,2021-03-12
dt\csv3\1252071.csv,West Indies,Sri Lanka,2021-03-14
dt\csv3\1260084.csv,Netherlands,Scotland,2021-05-19
dt\csv3\1260085.csv,Netherlands,Scotland,2021-05-20
dt\csv3\1262344.csv,Bangladesh,Sri Lanka,2021-05-23
dt\csv3\1262346.csv,Bangladesh,Sri Lanka,2021-05-25
dt\csv3\1262347.csv,Sri Lanka,Bangladesh,2021-05-28
dt\csv3\1262755.csv,Sri Lanka,India,2021-07-18
dt\csv3\1262756.csv,Sri Lanka,India,2021-07-20
dt\csv3\1262757.csv,India,Sri Lanka,2021-07-23
dt\csv3\1263161.csv,Australia,West Indies,2021-07-20
dt\csv3\1263162.csv,Australia,West Indies,2021-07-22
dt\csv3\1263163.csv,West Indies,Australia,2021-07-26
dt\csv3\1267677.csv,Bangladesh,Zimbabwe,2021-07-16
dt\csv3\1267678.csv,Zimbabwe,Bangladesh,2021-07-18
dt\csv3\1267679.csv,Zimbabwe,Bangladesh,2021-07-20
dt\csv3\1271627.csv,Sri Lanka,South Africa,2021-09-02
dt\csv3\1271628.csv,South Africa,Sri Lanka,2021-09-04
dt\csv3\1271629.csv,Sri Lanka,South Africa,2021-09-07
dt\csv3\1272379.csv,Zimbabwe,Ireland,2021-09-08
dt\csv3\1272380.csv,Ireland,Zimbabwe,2021-09-10
dt\csv3\1272381.csv,Zimbabwe,Ireland,2021-09-13
dt\csv3\1275249.csv,United States of America,Nepal,2021-09-13
dt\csv3\1275250.csv,Nepal,Oman,2021-09-14
dt\csv3\1275251.csv,United States of America,Oman,2021-09-16
dt\csv3\1275253.csv,Oman,Nepal,2021-09-19
dt\csv3\1275255.csv,Papua New Guinea,Scotland,2021-09-25
dt\csv3\1275256.csv,Oman,Papua New Guinea,2021-09-26
dt\csv3\1275257.csv,Scotland,Oman,2021-09-28
dt\csv3\1275258.csv,Papua New Guinea,Scotland,2021-09-29
dt\csv3\1275259.csv,Papua New Guinea,Oman,2021-10-01
dt\csv3\1275260.csv,Scotland,Oman,2021-10-02
dt\csv3\1276293.csv,Papua New Guinea,United States of America,2021-09-06
dt\csv3\1276294.csv,United States of America,Papua New Guinea,2021-09-09
dt\csv3\1276295.csv,Papua New Guinea,Nepal,2021-09-07
dt\csv3\1276296.csv,Nepal,Papua New Guinea,2021-09-10
dt\csv3\1276907.csv,England,India,2022-07-12
dt\csv3\1276908.csv,England,India,2022-07-14
dt\csv3\1276909.csv,England,India,2022-07-17
dt\csv3\1276910.csv,South Africa,England,2022-07-19
dt\csv3\1276911.csv,England,South Africa,2022-07-22
dt\csv3\1276912.csv,South Africa,England,2022-07-24
dt\csv3\1277073.csv,South Africa,Netherlands,2021-11-26
dt\csv3\1277082.csv,South Africa,India,2022-01-19
dt\csv3\1277083.csv,India,South Africa,2022-01-21
dt\csv3\1277084.csv,South Africa,India,2022-01-23
dt\csv3\1277085.csv,West Indies,Ireland,2022-01-08
dt\csv3\1277086.csv,West Indies,Ireland,2022-01-13
dt\csv3\1277087.csv,West Indies,Ireland,2022-01-16
dt\csv3\1277097.csv,Bangladesh,South Africa,2022-03-18
dt\csv3\1277098.csv,Bangladesh,South Africa,2022-03-20
dt\csv3\1277099.csv,South Africa,Bangladesh,2022-03-23
dt\csv3\1278676.csv,West Indies,India,2022-02-06
dt\csv3\1278677.csv,India,West Indies,2022-02-09
dt\csv3\1278678.csv,India,West Indies,2022-02-11
dt\csv3\1281444.csv,England,Netherlands,2022-06-17
dt\csv3\1281445.csv,Netherlands,England,2022-06-19
dt\csv3\1281446.csv,Netherlands,England,2022-06-22
dt\csv3\1288313.csv,Australia,Pakistan,2022-03-29
dt\csv3\1288314.csv,Australia,Pakistan,2022-03-31
dt\csv3\1288315.csv,Australia,Pakistan,2022-04-02
dt\csv3\1288987.csv,Netherlands,New Zealand,2022-03-29
dt\csv3\1288988.csv,New Zealand,Netherlands,2022-04-02
dt\csv3\1288989.csv,New Zealand,Netherlands,2022-04-04
dt\csv3\1290881.csv,Namibia,Oman,2021-11-26
dt\csv3\1294969.csv,Zimbabwe,Sri Lanka,2022-01-16
dt\csv3\1294970.csv,Zimbabwe,Sri Lanka,2022-01-18
dt\csv3\1294971.csv,Sri Lanka,Zimbabwe,2022-01-21
dt\csv3\1299586.csv,Oman,United Arab Emirates,2022-02-05
dt\csv3\1299587.csv,Oman,United Arab Emirates,2022-02-06
dt\csv3\1299588.csv,Oman,United Arab Emirates,2022-02-08
dt\csv3\1302349.csv,Netherlands,West Indies,2022-05-31
dt\csv3\1302350.csv,Netherlands,West Indies,2022-06-02
dt\csv3\1302351.csv,West Indies,Netherlands,2022-06-04
dt\csv3\1302616.csv,Oman,United Arab Emirates,2022-03-05
dt\csv3\1302617.csv,Namibia,Oman,2022-03-06
dt\csv3\1302618.csv,Namibia,United Arab Emirates,2022-03-08
dt\csv3\1302619.csv,Oman,United Arab Emirates,2022-03-09
dt\csv3\1302620.csv,Namibia,Oman,2022-03-11
dt\csv3\1302621.csv,United Arab Emirates,Namibia,2022-03-12
dt\csv3\1302622.csv,Oman,Namibia,2022-03-14
dt\csv3\1302623.csv,Papua New Guinea,United Arab Emirates,2022-03-15
dt\csv3\1302624.csv,Papua New Guinea,Nepal,2022-03-16
dt\csv3\1302625.csv,United Arab Emirates,Nepal,2022-03-18
dt\csv3\1302626.csv,United Arab Emirates,Papua New Guinea,2022-03-19
dt\csv3\1302627.csv,United Arab Emirates,Nepal,2022-03-21
dt\csv3\1302628.csv,Papua New Guinea,Nepal,2022-03-22
dt\csv3\1303309.csv,Ireland,New Zealand,2022-07-10
dt\csv3\1303310.csv,Ireland,New Zealand,2022-07-12
dt\csv3\1303311.csv,New Zealand,Ireland,2022-07-15
dt\csv3\1305496.csv,Papua New Guinea,Nepal,2022-03-25
dt\csv3\1305497.csv,Nepal,Papua New Guinea,2022-03-26
dt\csv3\1307296.csv,Sri Lanka,Australia,2022-06-14
dt\csv3\1307297.csv,Sri Lanka,Australia,2022-06-16
dt\csv3\1307298.csv,Australia,Sri Lanka,2022-06-19
dt\csv3\1307299.csv,Sri Lanka,Australia,2022-06-21
dt\csv3\1307300.csv,Sri Lanka,Australia,2022-06-24
dt\csv3\1307479.csv,Scotland,New Zealand,2022-07-31
dt\csv3\1308244.csv,Scotland,Papua New Guinea,2022-04-09
dt\csv3\1308245.csv,Scotland,Oman,2022-04-10
dt\csv3\1308246.csv,Papua New Guinea,Oman,2022-04-12
dt\csv3\1308247.csv,Scotland,Papua New Guinea,2022-04-13
dt\csv3\1308248.csv,Oman,Scotland,2022-04-15
dt\csv3\1308249.csv,Oman,Papua New Guinea,2022-04-16
dt\csv3\1311737.csv,Pakistan,Netherlands,2022-08-16
dt\csv3\1311738.csv,Netherlands,Pakistan,2022-08-18
dt\csv3\1311739.csv,Pakistan,Netherlands,2022-08-21
dt\csv3\1312798.csv,United States of America,Scotland,2022-05-28
dt\csv3\1312799.csv,Scotland,United States of America,2022-05-29
dt\csv3\1312800.csv,United Arab Emirates,Scotland,2022-05-31
dt\csv3\1312801.csv,United Arab Emirates,United States of America,2022-06-01
dt\csv3\1312802.csv,Scotland,United Arab Emirates,2022-06-03
dt\csv3\1312803.csv,United States of America,United Arab Emirates,2022-06-04
dt\csv3\1312804.csv,United States of America,Oman,2022-06-08
dt\csv3\1312805.csv,Oman,Nepal,2022-06-09
dt\csv3\1312806.csv,Nepal,United States of America,2022-06-11
dt\csv3\1312807.csv,Oman,United States of America,2022-06-12
dt\csv3\1312808.csv,Oman,Nepal,2022-06-14
dt\csv3\1312809.csv,United States of America,Nepal,2022-06-15
dt\csv3\1315038.csv,West Indies,Pakistan,2022-06-08
dt\csv3\1315039.csv,Pakistan,West Indies,2022-06-10
dt\csv3\1315040.csv,Pakistan,West Indies,2022-06-12
dt\csv3\1317152.csv,West Indies,Bangladesh,2022-07-10
dt\csv3\1317153.csv,West Indies,Bangladesh,2022-07-13
dt\csv3\1317154.csv,West Indies,Bangladesh,2022-07-16
dt\csv3\1317476.csv,Zimbabwe,Australia,2022-08-28
dt\csv3\1317477.csv,Zimbabwe,Australia,2022-08-31
dt\csv3\1317478.csv,Australia,Zimbabwe,2022-09-03
dt\csv3\1317479.csv,New Zealand,Australia,2022-09-06
dt\csv3\1317480.csv,Australia,New Zealand,2022-09-08
