csv_number,num_players,start_number,end_number,date,num_teama,num_teamb,teama_players,teamb_players,venue
64844,22,484,505,2003-11-10,11,11,"['Hannan Sarkar', 'Nafees Iqbal', 'Moniruzzaman', 'Rajin Saleh', 'Alok Kapali', 'Mushfiqur Rahman', 'Khaled Mahmud', 'Khaled Mashud', 'Manjural Islam Rana', 'Mohammad Rafique', 'Tapash Baisya']","['ME Trescothick', 'VS Solanki', 'MP Vaughan', 'PD Collingwood', 'A Flintoff', 'R Clarke', 'ID Blackwell', 'CMW Read', 'AF Giles', 'RL Johnson', 'JM Anderson']","Bangabandhu National Stadium, Dhaka"
64845,22,506,527,2003-11-12,11,11,"['Hannan Sarkar', 'Moniruzzaman', 'Habibul Bashar', 'Rajin Saleh', 'Mushfiqur Rahman', 'Alok Kapali', 'Khaled Mahmud', 'Khaled Mashud', 'Manjural Islam Rana', 'Mohammad Rafique', 'Tapash Baisya']","['ME Trescothick', 'VS Solanki', 'MP Vaughan', 'PD Collingwood', 'A Flintoff', 'R Clarke', 'ID Blackwell', 'CMW Read', 'GJ Batty', 'RJ Kirtley', 'JM Anderson']","Bangabandhu National Stadium, Dhaka"
64846,22,528,549,2003-11-18,11,11,"['ME Trescothick', 'AJ Strauss', 'MP Vaughan', 'PD Collingwood', 'A Flintoff', 'R Clarke', 'ID Blackwell', 'CMW Read', 'AF Giles', 'RL Johnson', 'JM Anderson']","['ST Jayasuriya', 'RS Kaluwitharana', 'MS Atapattu', 'KC Sangakkara', 'DPMD Jayawardene', 'TM Dilshan', 'UDU Chandana', 'WPUJC Vaas', 'KADM Fernando', 'M Muralitharan', 'KMDN Kulasekara']",Rangiri Dambulla International Stadium
64848,22,550,571,2003-11-23,11,11,"['WW Hinds', 'CH Gayle', 'BC Lara', 'RR Sarwan', 'S Chanderpaul', 'MN Samuels', 'RL Powell', 'CS Baugh', 'VC Drakes', 'R Rampaul', 'CD Collymore']","['V Sibanda', 'TR Gripper', 'MA Vermeulen', 'CB Wishart', 'S Matsikenyeri', 'HH Streak', 'T Taibu', 'SM Ervine', 'AM Blignaut', 'GB Brent', 'RW Price']","Queens Sports Club, Bulawayo"
64849,22,572,593,2003-11-26,11,11,"['V Sibanda', 'TR Gripper', 'MA Vermeulen', 'CB Wishart', 'S Matsikenyeri', 'HH Streak', 'T Taibu', 'SM Ervine', 'AM Blignaut', 'GB Brent', 'RW Price']","['WW Hinds', 'CH Gayle', 'RR Sarwan', 'BC Lara', 'S Chanderpaul', 'MN Samuels', 'RL Powell', 'RD Jacobs', 'VC Drakes', 'M Dillon', 'CD Collymore']",Harare Sports Club
64850,22,594,615,2003-11-29,11,11,"['CD Cumming', 'RA Jones', 'MS Sinclair', 'HJH Marshall', 'CL Cairns', 'JDP Oram', 'BB McCullum', 'DL Vettori', 'MDJ Walker', 'KP Walmsley', 'MJ Mason']","['Yasir Hameed', 'Imran Farhat', 'Yousuf Youhana', 'Inzamam-ul-Haq', 'Moin Khan', 'Shoaib Malik', 'Misbah-ul-Haq', 'Abdul Razzaq', 'Mohammad Sami', 'Danish Kaneria', 'Shabbir Ahmed']","Gaddafi Stadium, Lahore"
64851,22,616,637,2003-11-29,11,11,"['WW Hinds', 'CH Gayle', 'BC Lara', 'RR Sarwan', 'S Chanderpaul', 'RL Powell', 'RD Jacobs', 'M Dillon', 'CD Collymore', 'FH Edwards', 'R Rampaul']","['V Sibanda', 'BG Rogers', 'MA Vermeulen', 'CB Wishart', 'S Matsikenyeri', 'HH Streak', 'T Taibu', 'SM Ervine', 'AM Blignaut', 'GB Brent', 'RW Price']",Harare Sports Club
64852,22,638,659,2003-11-30,11,11,"['V Sibanda', 'BG Rogers', 'MA Vermeulen', 'CB Wishart', 'A Maregwede', 'HH Streak', 'T Taibu', 'SM Ervine', 'AM Blignaut', 'GB Brent', 'RW Price']","['WW Hinds', 'CH Gayle', 'BC Lara', 'RL Powell', 'S Chanderpaul', 'RR Sarwan', 'RD Jacobs', 'M Dillon', 'CD Collymore', 'FH Edwards', 'R Rampaul']",Harare Sports Club
64853,22,660,681,2003-12-01,11,11,"['Yasir Hameed', 'Imran Farhat', 'Saleem Elahi', 'Yousuf Youhana', 'Misbah-ul-Haq', 'Shoaib Malik', 'Abdul Razzaq', 'Moin Khan', 'Mohammad Sami', 'Danish Kaneria', 'Shabbir Ahmed']","['CD Cumming', 'RA Jones', 'MS Sinclair', 'HJH Marshall', 'CL Cairns', 'JDP Oram', 'BB McCullum', 'TK Canning', 'DL Vettori', 'PA Hitchcock', 'DR Tuffey']","Gaddafi Stadium, Lahore"
64855,22,682,703,2003-12-05,11,11,"['CD Cumming', 'RA Jones', 'MS Sinclair', 'HJH Marshall', 'CZ Harris', 'CL Cairns', 'BB McCullum', 'TK Canning', 'PA Hitchcock', 'DR Tuffey', 'MJ Mason']","['Yasir Hameed', 'Imran Farhat', 'Azhar Mahmood', 'Saleem Elahi', 'Shoaib Malik', 'Abdul Razzaq', 'Moin Khan', 'Yousuf Youhana', 'Inzamam-ul-Haq', 'Umar Gul', 'Shoaib Akhtar']",Rawalpindi Cricket Stadium
64857,22,704,725,2004-01-03,11,11,"['Yasir Hameed', 'Imran Farhat', 'Saleem Elahi', 'Yousuf Youhana', 'Shoaib Malik', 'Inzamam-ul-Haq', 'Moin Khan', 'Abdul Razzaq', 'Azhar Mahmood', 'Mohammad Sami', 'Shabbir Ahmed']","['CD Cumming', 'SP Fleming', 'HJH Marshall', 'SB Styris', 'CD McMillan', 'CL Cairns', 'JDP Oram', 'BB McCullum', 'AR Adams', 'DL Vettori', 'DR Tuffey']",Eden Park
64862,22,726,747,2004-01-25,11,11,"['GC Smith', 'HH Gibbs', 'RJ Peterson', 'JH Kallis', 'HH Dippenaar', 'JA Rudolph', 'SM Pollock', 'L Klusener', 'MV Boucher', 'A Nel', 'M Ntini']","['CH Gayle', 'S Chanderpaul', 'BC Lara', 'RR Sarwan', 'RL Powell', 'DR Smith', 'RD Jacobs', 'RO Hurley', 'VC Drakes', 'M Dillon', 'CD Collymore']",Newlands
64864,22,748,769,2004-01-30,11,11,"['CH Gayle', 'S Chanderpaul', 'RL Powell', 'RR Sarwan', 'BC Lara', 'DR Smith', 'RD Jacobs', 'RO Hurley', 'M Dillon', 'R Rampaul', 'CD Collymore']","['GC Smith', 'HH Gibbs', 'JH Kallis', 'RJ Peterson', 'HH Dippenaar', 'JA Rudolph', 'SM Pollock', 'L Klusener', 'MV Boucher', 'A Nel', 'M Ntini']",Kingsmead
64865,22,770,791,2004-02-01,11,11,"['GC Smith', 'HH Gibbs', 'RJ Peterson', 'JH Kallis', 'HH Dippenaar', 'L Klusener', 'SM Pollock', 'JA Rudolph', 'MV Boucher', 'A Nel', 'M Ntini']","['CH Gayle', 'S Chanderpaul', 'RL Powell', 'RR Sarwan', 'BC Lara', 'DR Smith', 'RD Jacobs', 'RO Hurley', 'R Rampaul', 'M Dillon', 'CD Collymore']",SuperSport Park
64870,22,792,813,2004-02-20,11,11,"['AC Gilchrist', 'ML Hayden', 'RT Ponting', 'DR Martyn', 'MG Bevan', 'A Symonds', 'MJ Clarke', 'GB Hogg', 'B Lee', 'JN Gillespie', 'BA Williams']","['ST Jayasuriya', 'RS Kaluwitharana', 'MS Atapattu', 'KC Sangakkara', 'DPMD Jayawardene', 'TM Dilshan', 'UDU Chandana', 'WPUJC Vaas', 'HDPK Dharmasena', 'KMDN Kulasekara', 'M Muralitharan']",Rangiri Dambulla International Stadium
64871,22,814,835,2004-02-22,11,11,"['MS Atapattu', 'ST Jayasuriya', 'KC Sangakkara', 'DPMD Jayawardene', 'TM Dilshan', 'RS Kaluwitharana', 'UDU Chandana', 'RP Arnold', 'WPUJC Vaas', 'HDPK Dharmasena', 'M Muralitharan']","['MJ Clarke', 'ML Hayden', 'RT Ponting', 'DR Martyn', 'A Symonds', 'AC Gilchrist', 'MG Bevan', 'IJ Harvey', 'GB Hogg', 'B Lee', 'JN Gillespie']",Rangiri Dambulla International Stadium
64872,22,836,857,2004-02-25,11,11,"['GC Smith', 'HH Gibbs', 'JH Kallis', 'HH Dippenaar', 'N Boje', 'JA Rudolph', 'MV Boucher', 'SM Pollock', 'L Klusener', 'M Ntini', 'A Nel']","['MHW Papps', 'SP Fleming', 'HJH Marshall', 'SB Styris', 'CD McMillan', 'CL Cairns', 'JDP Oram', 'BB McCullum', 'DL Vettori', 'KD Mills', 'MJ Mason']",Carisbrook
64874,22,858,879,2004-02-27,11,11,"['AC Gilchrist', 'ML Hayden', 'RT Ponting', 'DR Martyn', 'A Symonds', 'MG Bevan', 'MJ Clarke', 'IJ Harvey', 'GB Hogg', 'MS Kasprowicz', 'JN Gillespie']","['MS Atapattu', 'ST Jayasuriya', 'KC Sangakkara', 'DPMD Jayawardene', 'WS Jayantha', 'TM Dilshan', 'UDU Chandana', 'KS Lokuarachchi', 'WPUJC Vaas', 'DNT Zoysa', 'M Muralitharan']",R.Premadasa Stadium
64881,22,880,901,2004-03-14,11,11,"['Hannan Sarkar', 'Manjural Islam Rana', 'Mohammad Ashraful', 'Rajin Saleh', 'Alok Kapali', 'Mushfiqur Rahman', 'Habibul Bashar', 'Khaled Mashud', 'Khaled Mahmud', 'Tapash Baisya', 'Tareq Aziz']","['GW Flower', 'BG Rogers', 'SV Carlisle', 'S Matsikenyeri', 'T Taibu', 'SM Ervine', 'HH Streak', 'DD Ebrahim', 'GB Brent', 'DT Hondo', 'RW Price']",Harare Sports Club
64882,22,902,923,2004-03-16,11,11,"['Yasir Hameed', 'Shahid Afridi', 'Yousuf Youhana', 'Inzamam-ul-Haq', 'Younis Khan', 'Moin Khan', 'Shoaib Malik', 'Abdul Razzaq', 'Shabbir Ahmed', 'Mohammad Sami', 'Shoaib Akhtar']","['V Sehwag', 'SR Tendulkar', 'VVS Laxman', 'SC Ganguly', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'RR Powar', 'Z Khan', 'L Balaji', 'A Nehra']",Rawalpindi Cricket Stadium
