venue,start_date,latitude,longitude,temperature,precipitation,wind_speed
"Desert Springs Cricket Ground, Almeria",2023-10-19,36.8267,-2.4522,21.7,9.5,33.5
"Eden Park, Auckland",2022-03-20,-36.8474,174.7634,18.8,14.9,33.1
Lord's,2006-09-02,51.5311,-0.2008,16.8,0.0,18.7
County Ground,2017-09-24,51.4729997747,-2.58382433136,15.5,,10.8
Harare Sports Club,2021-10-09,-17.815,31.0456,24.0,,11.5
Sinhalese Sports Club,2004-08-31,6.927,79.8556,,,
"The Village, Malahide",2016-06-18,53.4071,-6.1826,11.9,2.1,15.8
"R.Premadasa Stadium, Khettarama",2018-08-12,6.9271,79.8612,28.3,0.0,7.7
Iqbal Stadium,2008-01-30,18.9389,72.8258,23.2,,
"VRA Ground, Amstelveen",2024-08-09,52.2928,4.9175,20.5,0.3,28.7
County Ground,2012-07-05,51.4729997747,-2.58382433136,16.0,,7.9
Mulpani Cricket Ground,2023-04-29,18.9389,72.8258,29.1,0.0,4.9
"Seddon Park, Hamilton",2022-03-14,-37.7833,175.2786,,,
Brabourne Stadium,2013-02-17,18.9389,72.8258,23.2,,
Pallekele International Cricket Stadium,2018-10-20,7.4833,80.65,,,
"Providence Stadium, Guyana",2019-08-08,6.81,-58.1628,27.8,13.5,6.1
New Wanderers Stadium,2006-03-12,-18.9389,30.7545,,,
Edgbaston,2017-06-04,52.4828,-1.8998,12.9,,11.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-10-06,26.8477,80.968,23.8,62.0,8.7
"Basin Reserve, Wellington",2022-12-11,-41.3083,174.7767,18.4,0.0,27.5
"Edgbaston, Birmingham",2021-07-13,52.4522,-1.8986,18.3,1.1,13.6
Queens Sports Club,2013-05-05,-20.1692,28.5869,,,
SuperSport Park,2015-08-19,-25.7906,28.2286,17.4,,5.6
M Chinnaswamy Stadium,2015-07-06,12.9694,77.6044,24.5,,21.5
"Arnos Vale Ground, Kingstown",2012-03-16,13.1333,-61.2,,,
Riverside Ground,2009-09-20,18.52,73.8564,26.3,,
Harare Sports Club,2022-08-20,-17.815,31.0456,18.8,0.0,10.1
"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",2003-11-15,17.3744,78.4739,24.8,0.0,
Harare Sports Club,2011-10-20,-17.815,31.0456,25.3,,
The Rose Bowl,2007-08-21,34.1425,-118.1097,25.8,0.0,7.6
Kingsmead,2019-01-22,-29.8567,31.0269,23.9,0.0,11.4
Buffalo Park,2016-02-27,-33.0040233172,27.9182829935,19.2,5.1,
Central Broward Regional Park Stadium Turf Ground,2019-09-23,26.1328,-80.2189,27.4,0.0,16.1
Dubai International Cricket Stadium,2023-02-25,18.9389,72.8258,26.6,0.0,3.1
"Vidarbha Cricket Association Stadium, Jamtha",2011-02-25,18.9389,72.8258,25.7,,
Shere Bangla National Stadium,2012-03-13,23.75,90.4,27.3,,9.6
"Civil Service Cricket Club, Stormont",2009-08-27,54.6028,-5.9337,13.0,1.5,19.3
"Warner Park, Basseterre",2007-03-16,17.3589,-62.7828,,,
SuperSport Park,2004-02-01,-25.7906,28.2286,27.5,0.0,
"Shere Bangla National Stadium, Mirpur",2021-05-28,23.8233,90.3917,30.1,3.9,13.2
Adelaide Oval,2015-03-20,-34.9285,138.6007,16.9,0.0,22.5
Sydney Cricket Ground,2014-01-19,-33.8688,151.2093,22.8,0.0,21.8
"Seddon Park, Hamilton",2022-03-21,-37.7833,175.2786,,,
New Wanderers Stadium,2009-09-23,-18.9389,30.7545,,,
"Kensington Oval, Bridgetown",2007-04-28,13.1039,-59.6178,26.6,,28.6
McLean Park,2019-01-24,-40.7122,176.8478,,,
"Civil Service Cricket Club, Stormont",2015-08-27,54.6028,-5.9337,13.2,1.0,20.8
"John Davies Oval, Queenstown",2022-02-24,-45.0311,168.6608,14.5,0.0,8.9
Bert Sutcliffe Oval,2018-03-08,-18.1422,145.7717,,69.0,
Maharashtra Cricket Association Stadium,2021-03-23,18.5239,73.8555,26.1,0.2,5.7
"St Lawrence Ground, Canterbury",2003-06-29,51.2811,1.0898,,,
"Moosa Cricket Stadium, Pearland",2022-05-31,29.51768,-95.32565,28.9,0.0,17.6
Pallekele International Cricket Stadium,2017-08-24,7.4833,80.65,29.0,0.0,
Kennington Oval,2004-09-03,51.48,-0.1195,21.5,0.0,9.1
"National Cricket Stadium, St George's",2014-08-20,12.0536,-61.7535,27.3,,9.4
County Ground,2016-06-27,51.4729997747,-2.58382433136,14.6,,20.1
County Ground,2017-07-09,51.4729997747,-2.58382433136,19.2,,12.3
Eden Park,2015-03-24,-36.8427,174.766,17.8,8.4,11.6
"Warner Park, Basseterre",2008-07-04,17.3589,-62.7828,,,
"Queens Sports Club, Bulawayo",2023-06-30,-20.1508,28.5786,15.9,,8.9
McLean Park,2014-01-19,-40.7122,176.8478,,,
Harare Sports Club,2018-03-06,-17.815,31.0456,23.4,0.0,
Saxton Oval,2016-11-17,18.5569,73.8287,22.0,,
Shaheed Chandu Stadium,2006-12-05,18.9389,72.8258,26.9,,
The Rose Bowl,2020-08-04,34.1425,-118.1097,21.6,0.0,11.5
Harare Sports Club,2023-07-05,-17.815,31.0456,15.1,0.0,8.7
Sharjah Cricket Stadium,2011-11-20,25.2086,55.5296,25.0,0.0,7.0
Riverside Ground,2010-09-10,18.52,73.8564,23.5,5.1,
County Ground,2017-07-15,51.4729997747,-2.58382433136,15.6,,17.2
"Lord's, London",2022-07-14,51.531,-0.2648,19.6,0.0,13.9
Dubai International Cricket Stadium,2023-02-28,18.9389,72.8258,26.2,0.0,3.1
"Vidarbha Cricket Association Stadium, Jamtha",2009-10-28,18.9389,72.8258,30.5,,
Kennington Oval,2009-09-04,51.48,-0.1195,14.9,0.0,27.6
Pallekele International Cricket Stadium,2015-11-07,7.4833,80.65,29.1,2.3,
"Sir Vivian Richards Stadium, North Sound, Antigua",2021-09-16,17.75,-61.8,,,
"County Ground, Derby",2024-05-23,52.9171,-1.4886,12.2,0.5,31.4
ICC Academy,2018-01-16,18.9389,72.8258,29.5,,8.4
Sharjah Cricket Stadium,2014-10-07,25.2086,55.5296,32.6,0.0,8.9
Shere Bangla National Stadium,2010-01-08,23.75,90.4,17.8,0.0,
Melbourne Cricket Ground,2015-03-19,-37.822,144.9635,20.4,0.0,24.4
Newlands,2007-02-11,-33.9969,18.4716,17.6,1.3,15.8
McLean Park,2015-02-03,-40.7122,176.8478,,,
"Hazelaarweg, Rotterdam",2024-08-19,51.9287,4.4867,18.3,0.0,11.6
Sydney Cricket Ground,2012-02-26,-33.8688,151.2093,24.8,0.0,21.8
Dubai International Cricket Stadium,2011-11-14,18.9389,72.8258,30.1,,
Grace Road,2017-07-05,52.6328,-1.1358,17.8,,10.1
Shere Bangla National Stadium,2014-06-17,23.75,90.4,28.7,15.0,6.6
"Civil Service Cricket Club, Stormont",2007-06-26,54.6028,-5.9337,11.8,0.0,15.9
"Sardar Patel (Gujarat) Stadium, Motera",2005-11-06,18.9389,72.8258,26.8,,
"Shere Bangla National Stadium, Mirpur",2023-11-07,23.8233,90.3917,26.4,0.0,6.2
ICC Academy,2019-01-28,18.9389,72.8258,22.5,,7.1
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2017-07-08,6.9389,81.0331,15.4,1.0,
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-10-12,26.8477,80.968,27.4,0.0,4.8
ICC Academy,2018-01-21,18.9389,72.8258,27.3,,8.7
"Takashinga Sports Club, Highfield, Harare",2023-06-26,-17.815,31.0461,12.9,0.0,11.3
"Civil Service Cricket Club, Stormont",2007-07-01,54.6028,-5.9337,14.6,0.5,14.3
University Oval,2012-02-03,-18.1439,178.4358,25.3,5.6,4.9
Arnos Vale Ground,2004-05-16,13.1333,-61.2,,,
Old Trafford,2012-07-10,53.4627,-2.291,13.1,,
"Buffalo Park, East London",2023-12-16,-33.0247,27.9142,11.6,0.0,16.4
M Chinnaswamy Stadium,2011-03-16,12.9694,77.6044,25.8,,9.6
"SuperSport Park, Centurion",2003-02-23,-25.7906,28.2328,22.3,,
"Basin Reserve, Wellington",2022-03-25,-41.3083,174.7767,15.2,0.0,57.6
"Mannofield Park, Aberdeen",2022-08-13,57.1475,-2.1186,16.9,0.0,12.5
Rangiri Dambulla International Stadium,2010-08-22,7.89,80.8,,,
Jaffery Sports Club Ground,2007-02-05,18.9389,72.8258,24.0,,
"The Village, Malahide",2014-09-08,53.4071,-6.1826,9.6,0.0,12.0
Harare Sports Club,2011-08-12,-17.815,31.0456,16.5,,
Kennington Oval,2004-09-18,51.48,-0.1195,16.6,,19.9
SuperSport Park,2018-02-16,-25.7906,28.2286,23.1,,4.9
Sheikh Zayed Stadium,2013-11-08,24.4361,54.3896,27.1,,8.6
"Headingley, Leeds",2024-09-21,53.8067,-1.5432,16.0,0.0,14.8
Gaddafi Stadium,2004-03-21,31.5299,74.344,,,
Kingsmead,2021-01-23,-29.8567,31.0269,26.7,0.0,14.8
Brabourne Stadium,2013-02-08,18.9389,72.8258,24.4,,
Himachal Pradesh Cricket Association Stadium,2013-01-27,31.6439,77.2182,,,
Sawai Mansingh Stadium,2006-10-11,26.9222,75.7898,29.6,,
Willowmoore Park,2009-04-08,34.0087,-118.478,14.3,0.0,22.7
Newlands,2019-01-30,-33.9969,18.4716,22.7,,18.9
"National Cricket Stadium, Grenada",2020-01-12,12.0678,-61.7833,26.8,,25.8
"Warner Park, Basseterre",2008-07-06,17.3589,-62.7828,,,
Dubai International Cricket Stadium,2018-09-19,18.9389,72.8258,27.5,8.9,3.9
"Junction Oval, Melbourne",2023-10-14,-37.8389,144.958,13.6,1.4,19.8
Harare Sports Club,2024-10-28,-17.815,31.0456,24.3,0.0,11.7
"Eden Park, Auckland",2023-03-25,-36.8474,174.7634,15.5,0.0,10.7
The Wanderers Stadium,2020-02-09,-26.2044,28.0436,18.7,24.9,10.7
R Premadasa Stadium,2011-03-29,6.9269,79.8612,28.3,19.1,
Edgbaston,2017-06-02,52.4828,-1.8998,16.6,,7.3
"Riverside Ground, Chester-le-Street",2021-06-29,54.8181,-1.6467,13.3,0.0,9.8
Hagley Oval,2019-02-16,-43.5328,172.6389,14.0,,17.2
"Queens Sports Club, Bulawayo",2023-06-25,-20.1508,28.5786,14.9,,11.7
"Shaheed Veer Narayan Singh International Stadium, Raipur",2023-01-21,21.255,81.6389,21.9,0.0,7.5
"Punjab Cricket Association Stadium, Mohali",2007-11-08,30.7348,76.7361,,,
Malahide,2017-05-19,53.51,-6.1969,10.4,0.7,16.1
Trent Bridge,2019-05-31,52.9444,-1.1447,16.1,,13.3
Sharjah Cricket Stadium,2013-10-30,25.2086,55.5296,27.9,0.0,9.5
"Grace Road, Leicester",2021-09-21,52.6328,-1.1361,14.2,0.0,12.6
Sharjah Cricket Stadium,2012-09-03,25.2086,55.5296,35.3,0.0,9.5
Queens Sports Club,2018-07-18,-20.1692,28.5869,,,
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2023-06-28,14.0028,-60.9819,26.0,4.4,15.9
Melbourne Cricket Ground,2010-02-19,-37.822,144.9635,27.4,0.0,
County Ground,2017-06-29,51.4729997747,-2.58382433136,12.4,,9.1
The Wanderers Stadium,2019-03-03,-26.2044,28.0436,24.7,,2.2
Westpac Stadium,2010-03-13,-41.2885,174.7806,14.3,11.7,23.7
Gaddafi Stadium,2005-12-10,31.5299,74.344,14.8,,
Providence Stadium,2010-03-06,18.9389,72.8258,26.4,,
Sawai Mansingh Stadium,2006-10-17,26.9222,75.7898,28.5,,
"Riverside Ground, Chester-le-Street",2024-09-24,54.8181,-1.6467,11.2,1.1,9.2
"Bangabandhu National Stadium, Dhaka",2003-11-10,23.75,90.3929,24.9,0.0,
M Chinnaswamy Stadium,2010-12-07,12.9694,77.6044,20.6,,
Brisbane Cricket Ground,2004-01-20,-27.4679,153.0269,22.7,0.8,15.1
"Mission Road Ground, Mong Kok",2016-11-04,22.3214,114.1684,22.3,,12.5
Senwes Park,2011-10-23,-26.7036,27.9122,,,
Dubai International Cricket Stadium,2023-03-02,18.9389,72.8258,27.7,0.0,2.5
Rangiri Dambulla International Stadium,2018-10-13,7.89,80.8,,,
Dubai International Cricket Stadium,2022-03-21,18.9389,72.8258,28.2,0.0,5.4
Stellenbosch University 1,2008-02-21,-33.9324,18.8607,21.4,,14.7
Sheikh Abu Naser Stadium,2012-11-30,18.9389,72.8258,25.0,,
"Sardar Patel Stadium, Motera",2006-10-10,18.9389,72.8258,28.3,,
Zohur Ahmed Chowdhury Stadium,2009-11-05,22.3769,91.7968,,,
Sophia Gardens,2005-06-18,51.4883,-3.1917,20.4,,13.6
Sharjah Cricket Stadium,2016-10-02,25.2086,55.5296,31.8,0.0,11.7
Sharjah Cricket Stadium,2017-11-05,25.2086,55.5296,26.5,0.0,9.4
"Bellerive Oval, Hobart",2003-01-11,-42.8828,147.3286,,0.0,
"Sir Vivian Richards Stadium, North Sound, Antigua",2021-07-15,17.75,-61.8,,,
Headingley,2018-07-07,53.8067,-1.5425,20.0,,12.5
Western Australia Cricket Association Ground,2006-01-31,-31.9286,115.8628,19.6,0.2,18.4
The Rose Bowl,2013-09-16,34.1425,-118.1097,27.9,0.0,6.8
Saurashtra Cricket Association Stadium,2015-10-18,21.9206,70.9011,,,
"Kensington Oval, Bridgetown",2011-04-28,13.1039,-59.6178,25.8,,21.5
"City Oval, Pietermaritzburg",2023-09-28,-29.6197,30.3717,15.4,0.0,10.0
Harare Sports Club,2019-04-16,-17.815,31.0456,21.7,,8.3
"R Premadasa Stadium, Colombo",2022-06-21,6.9271,79.8612,29.2,0.0,5.1
"Mangaung Oval, Bloemfontein",2023-09-07,-29.1222,26.2178,11.3,0.0,1.1
Royal Chiangmai Golf Club,2022-11-20,18.8187,98.9607,25.8,2.2,4.3
Hagley Oval,2017-02-22,-43.5328,172.6389,17.7,0.3,16.2
Queens Sports Club,2004-04-20,-20.1692,28.5869,,,
"Titwood, Glasgow",2022-07-13,55.8414,-4.3357,14.3,0.6,20.3
Kinrara Academy Oval,2019-12-09,3.1236,101.6918,,,
National Stadium,2008-06-24,12.0554,-61.7513,27.7,,24.0
"Sir Vivian Richards Stadium, North Sound",2014-03-05,17.7411,-61.8487,,,
Gymkhana Club Ground,2006-08-12,18.9389,72.8258,26.5,3.0,
"Maple Leaf North-West Ground, King City",2024-09-22,44.0706,-79.6628,18.8,0.5,8.5
"Basin Reserve, Wellington",2024-04-01,-41.3083,174.7767,13.6,5.3,13.3
"Sir Vivian Richards Stadium, North Sound, Antigua",2023-12-06,17.75,-61.8,,,
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2021-03-07,26.8411,80.9688,24.9,,3.3
"Mission Road Ground, Mong Kok",2016-11-06,22.3214,114.1684,24.8,,12.6
Harare Sports Club,2023-01-23,-17.815,31.0456,18.6,7.1,11.2
Harare Sports Club,2014-09-04,-17.815,31.0456,13.1,,
Shere Bangla National Stadium,2010-12-06,23.75,90.4,23.5,,3.9
Madhavrao Scindia Cricket Ground,2007-02-11,18.9389,72.8258,25.3,,
"Brisbane Cricket Ground, Woolloongabba",2013-01-18,-27.4705,153.0269,26.5,0.0,21.9
Melbourne Cricket Ground,2018-01-14,-37.822,144.9635,16.8,19.0,20.3
"Sabina Park, Kingston",2007-03-21,18.4814,-76.8008,,,
Sharjah Cricket Stadium,2015-01-11,25.2086,55.5296,21.1,0.0,8.6
Reliance Stadium,2009-10-25,19.1243,72.8818,28.3,,
Multan Cricket Stadium,2008-04-16,30.2097,71.5142,23.9,0.0,
Western Australia Cricket Association Ground,2015-02-01,-31.9286,115.8628,25.1,0.0,24.9
Clontarf Cricket Club Ground,2008-07-29,53.3569,-6.2042,17.2,3.8,18.9
Hagley Oval,2015-02-14,-43.5328,172.6389,11.9,0.0,17.3
R Premadasa Stadium,2013-07-31,6.9269,79.8612,28.2,0.0,
Harare Sports Club,2014-09-06,-17.815,31.0456,16.8,,
Harare Sports Club,2015-08-04,-17.815,31.0456,14.2,,
"Goodyear Park, Bloemfontein",2003-03-12,-29.1167,26.2167,25.0,,
"The Rose Bowl, Southampton",2003-07-10,50.9244,-1.323316,20.1,,10.6
Edgbaston,2004-09-14,52.4828,-1.8998,12.0,,23.5
Kennington Oval,2017-06-05,51.48,-0.1195,15.5,0.0,23.5
Seddon Park,2015-03-13,-37.6817,175.2703,,,
Eden Gardens,2011-03-18,22.5411,88.3628,27.9,,17.8
Dubai International Cricket Stadium,2017-01-26,18.9389,72.8258,27.1,,9.3
"Narendra Modi Stadium, Ahmedabad",2023-10-05,23.0217,72.5605,28.1,0.0,5.9
SuperSport Park,2007-02-04,-25.7906,28.2286,26.6,0.0,10.7
Melbourne Cricket Ground,2008-02-10,-37.822,144.9635,17.9,0.2,
"Punjab Cricket Association Stadium, Mohali",2006-10-29,30.7348,76.7361,,,
The Rose Bowl,2017-05-27,34.1425,-118.1097,17.3,0.0,7.9
Bert Sutcliffe Oval,2018-03-04,-18.1422,145.7717,,18.0,
Harare Sports Club,2014-08-25,-17.815,31.0456,15.3,,
Senwes Park,2017-05-21,-26.7036,27.9122,,,
Shere Bangla National Stadium,2011-04-13,23.75,90.4,30.6,,8.5
Kingsmead,2007-11-25,-29.8567,31.0269,20.2,31.0,13.1
Shere Bangla National Stadium,2016-10-09,23.75,90.4,28.1,0.0,7.8
Brabourne Stadium,2018-10-29,18.9389,72.8258,28.3,,3.3
"Kennington Oval, London",2003-06-28,51.4862,-0.1258,18.2,,10.2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2011-12-02,17.6869,83.2119,,,
"Civil Service Cricket Club, Stormont, Belfast",2021-09-08,54.6024,-5.9337,16.9,1.9,7.5
The Rose Bowl,2006-09-05,34.1425,-118.1097,30.4,0.0,6.8
Harare Sports Club,2003-11-29,-17.815,31.0456,19.8,5.1,
Willowmoore Park,2009-11-08,34.0087,-118.478,16.1,0.0,7.9
"Queen's Park Oval, Port of Spain",2007-03-19,10.6936,-61.5215,26.4,0.0,13.2
Multan Cricket Stadium,2006-12-13,30.2097,71.5142,15.3,,
"The Village, Malahide",2016-08-18,53.4071,-6.1826,15.6,14.2,11.4
New Wanderers Stadium,2016-02-12,-18.9389,30.7545,,,
"The Village, Malahide",2014-09-10,53.4071,-6.1826,11.8,0.0,7.2
The Rose Bowl,2012-06-16,34.1425,-118.1097,19.6,0.0,9.4
"De Beers Diamond Oval, Kimberley",2003-02-16,-28.7389,24.7458,27.9,0.0,
"Ray Mitchell Oval, Harrup Park, Mackay",2021-09-26,-21.1508,149.2008,20.9,0.0,12.7
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2014-07-12,6.9389,81.0331,15.6,6.1,
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2011-08-14,6.9389,81.0331,15.6,7.4,
"County Ground, Bristol",2024-07-03,51.4514,-2.5861,15.1,1.1,10.8
"Brisbane Cricket Ground, Woolloongabba",2006-01-17,-27.4705,153.0269,26.1,0.0,15.6
Sheikh Zayed Stadium,2015-11-13,24.4361,54.3896,26.3,,16.0
Khettarama Stadium,2016-09-25,18.9389,72.8258,27.4,1.0,10.4
Harare Sports Club,2013-08-29,-17.815,31.0456,18.9,,
Headingley,2006-07-01,53.8067,-1.5425,19.6,,11.7
Adelaide Oval,2008-02-19,-34.9285,138.6007,26.8,0.0,21.0
"Riverway Stadium, Townsville",2022-09-03,-19.2583,146.828,21.6,10.4,22.4
ICC Academy,2019-01-25,18.9389,72.8258,20.7,,7.2
SuperSport Park,2008-01-20,-25.7906,28.2286,19.6,6.1,8.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2017-12-17,17.6869,83.2119,23.7,,11.0
Kennington Oval,2013-06-11,51.48,-0.1195,13.8,0.0,12.9
"Bay Oval, Mount Maunganui",2022-03-29,-37.6833,176.1667,20.9,0.9,15.7
"Arnos Vale Ground, Kingstown, St Vincent",2003-06-11,13.1411,-61.2167,,,
Westpac Stadium,2006-01-06,-41.2885,174.7806,15.5,0.0,16.3
ICC Academy,2019-01-26,18.9389,72.8258,20.4,,7.6
Buffalo Park,2016-02-24,-33.0040233172,27.9182829935,14.7,0.3,
Old Trafford,2019-07-09,53.4627,-2.291,15.8,,5.0
Hagley Oval,2018-03-10,-43.5328,172.6389,12.9,0.3,8.6
Maharashtra Cricket Association Stadium,2021-03-26,18.5239,73.8555,28.2,0.0,5.5
"Bangabandhu National Stadium, Dhaka",2003-11-12,23.75,90.3929,24.3,0.0,
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023-10-10,17.4361,78.5366,27.8,0.0,5.1
"Queen's Park Oval, Port of Spain",2006-05-28,10.6936,-61.5215,28.1,0.0,12.7
Malahide,2017-05-14,53.51,-6.1969,11.7,3.1,20.7
Kinrara Academy Oval,2006-09-14,3.1236,101.6918,,,
"Queen's Park Oval, Trinidad",2019-08-14,10.6944,-61.5189,26.6,0.3,8.3
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2019-12-18,17.6869,83.2119,24.8,,10.1
Shere Bangla National Stadium,2015-04-19,23.75,90.4,26.3,14.7,18.0
Grace Road,2017-07-02,52.6328,-1.1358,16.0,,17.0
Western Australia Cricket Association Ground,2016-01-12,-31.9286,115.8628,20.6,0.0,19.3
"Queen's Park Oval, Port of Spain",2013-07-11,10.6936,-61.5215,28.8,0.0,9.7
National Stadium,2008-06-25,12.0554,-61.7513,,,
Shere Bangla National Stadium,2010-12-03,23.75,90.4,22.4,,3.1
Diamond Oval,2016-10-11,-28.7297,24.7619,24.3,,
"M Chinnaswamy Stadium, Bengaluru",2024-06-19,12.9699,77.6012,24.1,3.6,13.2
Eden Gardens,2017-09-21,22.5411,88.3628,29.7,0.0,11.1
Eden Park,2020-02-08,-36.8427,174.766,19.2,0.0,16.7
Bay Oval,2017-03-02,-37.6894,176.1642,,,
Lord's,2014-05-31,51.5311,-0.2008,13.1,0.0,5.3
Brabourne Stadium,2013-02-15,18.9389,72.8258,27.1,,
"Titwood, Glasgow",2022-07-14,55.8414,-4.3357,14.5,0.2,15.3
M Chinnaswamy Stadium,2015-07-08,12.9694,77.6044,23.8,,22.2
Bellerive Oval,2012-02-28,-18.9389,147.1861,,,
Manuka Oval,2014-11-19,-35.2806,149.1306,17.6,0.0,11.5
"R Premadasa Stadium, Colombo",2023-09-09,6.9271,79.8612,28.3,0.8,4.8
"Takashinga Sports Club, Highfield, Harare",2023-06-22,-17.815,31.0461,15.3,0.0,10.7
"Rajiv Gandhi International Stadium, Uppal",2009-11-05,17.4389,78.5666,25.8,,
"County Ground, Northampton",2023-09-12,52.2502,-0.8997,16.7,5.0,12.8
Adelaide Oval,2005-01-26,-34.9285,138.6007,26.5,0.0,20.1
Sharjah Cricket Stadium,2019-12-09,25.2086,55.5296,23.1,0.0,8.8
Hurstville Oval,2014-11-13,-33.9622,151.0998,22.1,0.0,24.2
Rangiri Dambulla International Stadium,2017-03-25,7.89,80.8,,,
Pallekele International Cricket Stadium,2013-07-26,7.4833,80.65,26.0,16.5,
Sinhalese Sports Club Ground,2020-02-22,6.9273,79.8597,29.8,0.0,6.0
Providence Stadium,2007-04-09,18.9389,72.8258,29.4,,
Seddon Park,2011-02-03,-37.6817,175.2703,,,
Sheikh Zayed Stadium,2009-11-06,24.4361,54.3896,28.0,,8.5
Pallekele International Cricket Stadium,2018-08-08,7.4833,80.65,27.1,0.0,
R Premadasa Stadium,2016-08-24,6.9269,79.8612,28.3,0.0,
Edgbaston,2019-06-30,52.4828,-1.8998,17.9,,15.8
"St George's Park, Port Elizabeth",2003-03-11,-33.9814,25.5796,23.4,0.0,14.9
National Cricket Stadium,2004-05-19,12.0554,-61.7513,,,
Shere Bangla National Stadium,2014-02-17,23.75,90.4,17.6,3.8,9.1
"Tribhuvan University International Cricket Ground, Kirtipur",2023-02-21,27.6983,85.3109,16.2,0.0,7.2
Harare Sports Club,2014-08-29,-17.815,31.0456,19.0,,
Harare Sports Club,2015-10-01,-17.815,31.0456,23.4,,
Bellerive Oval,2004-01-14,-18.9389,147.1861,,,
"Queen's Park Oval, Port of Spain",2008-04-10,10.6936,-61.5215,26.9,0.0,9.9
"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023-10-28,32.2311,76.2144,20.3,0.0,4.9
Adelaide Oval,2012-03-08,-34.9285,138.6007,19.0,0.0,14.1
"R Premadasa Stadium, Colombo",2023-09-17,6.9271,79.8612,27.8,0.0,3.0
Shere Bangla National Stadium,2015-11-11,23.75,90.4,24.5,0.0,2.4
Queens Sports Club,2018-07-13,-20.1692,28.5869,,,
Sylhet International Cricket Stadium,2020-03-06,24.8847,91.8531,21.9,7.1,
"Coolidge Cricket Ground, Antigua",2021-07-07,17.7136,-61.7936,,,
Madhavrao Scindia Cricket Ground,2009-12-15,18.9389,72.8258,27.6,,
Sylhet International Cricket Stadium,2023-03-18,24.8847,91.8531,23.6,1.6,7.3
Kennington Oval,2012-08-31,51.48,-0.1195,13.6,0.0,12.6
"United Cricket Club Ground, Windhoek",2024-09-24,-22.5708,17.0819,22.7,0.0,7.6
P Saravanamuttu Stadium,2007-07-20,6.9289,79.8616,,,
"Moosa Cricket Stadium, Pearland",2022-06-08,29.51768,-95.32565,29.4,0.0,12.0
"The Village, Malahide",2019-05-11,53.4071,-6.1826,8.1,0.0,14.6
Old Trafford,2007-08-30,53.4627,-2.291,15.4,,16.5
Adelaide Oval,2003-01-17,-34.9285,138.6007,24.4,0.0,12.2
"Tribhuvan University International Cricket Ground, Kirtipur",2022-03-26,27.6983,85.3109,20.2,0.0,8.2
"The Wanderers Stadium, Johannesburg",2022-01-28,-26.2047,27.9795,20.0,20.9,11.0
"Tribhuvan University International Cricket Ground, Kirtipur",2024-02-21,27.6983,85.3109,14.8,0.0,6.8
Bay Oval,2016-02-22,-37.6894,176.1642,,,
Harare Sports Club,2023-03-23,-17.815,31.0456,20.4,1.3,13.0
Rangiri Dambulla International Stadium,2016-09-18,7.89,80.8,,,
"Arun Jaitley Stadium, Delhi",2023-11-06,28.6112,77.2297,21.6,0.0,1.0
Melbourne Cricket Ground,2010-02-07,-37.822,144.9635,22.9,0.0,
"Sabina Park, Kingston",2013-06-28,18.4814,-76.8008,,,
County Ground,2015-07-23,51.4729997747,-2.58382433136,13.9,,11.5
Old Trafford,2011-07-09,53.4627,-2.291,15.3,,
Colombo Cricket Club Ground,2017-02-19,6.9273,79.8536,26.1,11.4,
Kingsmead,2017-02-01,-29.8567,31.0269,26.4,0.0,17.3
"Warner Park, Basseterre",2006-05-23,17.3589,-62.7828,,,
Newlands,2013-11-24,-33.9969,18.4716,23.8,,13.4
Dubai International Cricket Stadium,2024-03-07,18.9389,72.8258,26.1,0.0,4.3
The Vineyard,2018-06-10,,,,,
MA Aziz Stadium,2004-12-23,18.9389,72.8258,24.6,0.0,
JSCA International Stadium Complex,2019-03-08,23.3711,85.3306,21.0,,4.6
Melbourne Cricket Ground,2012-02-05,-37.822,144.9635,18.6,0.0,
Rangiri Dambulla International Stadium,2004-02-20,7.89,80.8,,,
Kingsmead,2013-12-08,-29.8567,31.0269,20.3,1.0,14.0
"Brisbane Cricket Ground, Woolloongabba",2014-01-17,-27.4705,153.0269,25.1,0.2,15.5
Queens Sports Club,2011-08-19,-20.1692,28.5869,,,
Feroz Shah Kotla,2009-10-31,28.63,77.2267,22.9,,
Lord's,2004-07-10,51.5311,-0.2008,15.0,,12.7
North-West University No1 Ground,2017-05-07,,,,,
Eden Park,2017-01-30,-36.8427,174.766,20.3,0.0,17.7
Seddon Park,2016-02-08,-37.6817,175.2703,,,
Trent Bridge,2011-07-06,52.9444,-1.1447,15.3,,21.4
